Accession Number,Organism,Type Material,Annotated As Type,Isolate,Specimen Voucher,Geo Loc Name,Collection Date,Collected By,Fwd Primer,Rev Primer,Note,MyCoPortal Number
MH861193,Aaosphaeria arxii,"culture from holotype of Didymosphaeria
                     arxii",Yes,,,Colombia,,,,,NCBI type_material qualifier,
MH872962,Aaosphaeria arxii,"culture from holotype of Didymosphaeria
                     arxii",Yes,,,Colombia,,,,,NCBI type_material qualifier,
JN977612,Abieticola koreana,holotype of Abieticola koreana,Yes,,,South Korea: garden located in Daejeon,,,,,NCBI type_material qualifier,
OR116440,Abrothallus altoandinus,holotype of Abrothallus altoandinus,Yes,,A. Flakus 25948,Bolivia,,Adam Flakus,,,NCBI type_material qualifier,
KP165092,Abrothallus boomii,holotype of Abrothallus boomii,Yes,S333,van den Boom 43228 (MA),,,,,,NCBI type_material qualifier,
KP165087,Abrothallus canariensis,holotype of Abrothallus canariensis,Yes,S332,van den Boom 37849 (MA),,,,,,NCBI type_material qualifier,
KP165086,Abrothallus doliiformis,holotype of Abrothallus doliiformis,Yes,S309,Perez-Ortega 2004 (MA),,,,,,NCBI type_material qualifier,
PP789045,Abrothallus epiclathratus,holotype of Abrothallus epiclathratus,Yes,AB286,EA 5103,Kenya,2016-05-31,Paul Kirika,,,NCBI type_material qualifier,
KP165101,Abrothallus eriodermae,holotype of Abrothallus eriodermae,Yes,AB60,,,,,,,NCBI type_material qualifier,
KP165085,Abrothallus etayoi,holotype of Abrothallus etayoi,Yes,S330,Perez-Ortega 2003 (MA),,,,,,NCBI type_material qualifier,
MT153946,Abrothallus subhalei,holotype of Abrothallus subhalei,Yes,,J.E.IX-6,,,,,,NCBI type_material qualifier,
ON074695,Absidia abundans,culture from holotype of Absidia abundans,Yes,,,China,,Heng Zhao,,,NCBI type_material qualifier,
ON074696,Absidia abundans,culture from holotype of Absidia abundans,Yes,,,China,,Heng Zhao,,,NCBI type_material qualifier,
ON074697,Absidia abundans,culture from holotype of Absidia abundans,Yes,,,China,,Heng Zhao,,,NCBI type_material qualifier,
MW763074,Absidia aguabelensis,"culture from holotype of Absidia
                     aguabelensis",Yes,,,Brazil,,,,,NCBI type_material qualifier,
MW763075,Absidia aguabelensis,"culture from holotype of Absidia
                     aguabelensis",Yes,,,Brazil,,,,,NCBI type_material qualifier,
MZ354138,Absidia ampullacea,"culture from holotype of Absidia
                     ampullacea",Yes,,,China,,,,,NCBI type_material qualifier,
MH859085,Absidia anomala,"culture from type material of Absidia
                     anomala",Yes,,,Cuba,,,,,NCBI type_material qualifier,
JN205815,Absidia anomala,"culture from type material of Absidia
                     anomala",Yes,,,,,,,,NCBI type_material qualifier,
EF030523,Absidia anomala,type material of Absidia anomala,Yes,,,,,,,,NCBI type_material qualifier,
MZ354153,Absidia biappendiculata,"isotype of Absidia spinosa var.
                     biappendiculata",Yes,,,USA,,,,,NCBI type_material qualifier,
MZ354139,Absidia brunnea,culture from holotype of Absidia brunnea,Yes,,,China,,,,,NCBI type_material qualifier,
KT308169,Absidia caatinguensis,holotype of Absidia caatinguensis,Yes,URM 7156,,Brazil: Pernambuco,,,,,NCBI type_material qualifier,
KT308168,Absidia caatinguensis,holotype of Absidia caatinguensis,Yes,URM 7156,,Brazil: Pernambuco,,,,,NCBI type_material qualifier,
AY944872,Absidia californica,"culture from type material of Absidia
                     californica",Yes,,,,,,,,NCBI type_material qualifier,
PP844904,Absidia cheongyangensis,"culture from holotype of Absidia
                     cheongyangensis",Yes,,,South Korea,,,,,NCBI type_material qualifier,
MZ354140,Absidia chinensis,"culture from holotype of Absidia
                     chinensis",Yes,,,China,,,,,NCBI type_material qualifier,
MZ354146,Absidia cinerea,culture from holotype of Absidia cinerea,Yes,,,China,,,,,NCBI type_material qualifier,
MN625256,Absidia cornuta,culture from holotype of Absidia cornuta,Yes,,,Brazil,,,,,NCBI type_material qualifier,
MH857828,Absidia cuneospora,type material of Absidia cuneospora,Yes,,,USA: California,,,,,NCBI type_material qualifier,
MZ354142,Absidia digitula,culture from holotype of Absidia digitula,Yes,,,China,,,,,NCBI type_material qualifier,
MT396372,Absidia edaphica,holotype of Absidia edaphica,Yes,,MFLU:20-0416,Thailand,11-Aug-2019,Bhavesh Raghoonundon,,,NCBI type_material qualifier,
PP844891,Absidia fluvii,culture from holotype of Absidia fluvii,Yes,,,South Korea,,,,,NCBI type_material qualifier,
OM108487,Absidia frigida,culture from holotype of Absidia frigida,Yes,,,China,,Heng Zhao,,,NCBI type_material qualifier,
JN205814,Absidia fusca,"culture from type material of Absidia
                     fusca",Yes,,,,,,,,NCBI type_material qualifier,
OM108488,Absidia gemella,culture from holotype of Absidia gemella,Yes,,,China,,Heng Zhao,,,NCBI type_material qualifier,
MH854573,Absidia glauca,type material of Absidia glauca,Yes,,,,,,,,NCBI type_material qualifier,
JN205810,Absidia glauca,type material of Absidia glauca,Yes,,,,,,,,NCBI type_material qualifier,
EU484272,Absidia glauca,type material of Absidia glauca,Yes,,,,,,,,NCBI type_material qualifier,
MW671537,Absidia globospora,"culture from holotype of Absidia
                     globospora",Yes,,,China,,,,,NCBI type_material qualifier,
MT436028,Absidia healeyae,holotype of Absidia healeyae,Yes,,,,,,,,NCBI type_material qualifier,
JN205847,Absidia idahoensis,type material of Absidia idahoensis,Yes,,,,,,,,NCBI type_material qualifier,
PP844906,Absidia kunryangriensis,"culture from holotype of Absidia
                     kunryangriensis",Yes,,,South Korea,,,,,NCBI type_material qualifier,
PP844905,Absidia kunryangriensis,"culture from holotype of Absidia
                     kunryangriensis",Yes,,,South Korea,,,,,NCBI type_material qualifier,
ON074691,Absidia lobata,culture from holotype of Absidia lobata,Yes,,,China,,Heng Zhao,,,NCBI type_material qualifier,
ON074690,Absidia lobata,culture from holotype of Absidia lobata,Yes,,,China,,Heng Zhao,,,NCBI type_material qualifier,
OM108489,Absidia longissima,"culture from holotype of Absidia
                     longissima",Yes,,,China,,Heng Zhao,,,NCBI type_material qualifier,
MW671542,Absidia medulla,culture from holotype of Absidia medulla,Yes,,,China,,,,,NCBI type_material qualifier,
MW473494,Absidia montepascoalis,"culture from holotype of Absidia
                     montepascoalis",Yes,281,URM<BRA>:8218,Brazil,06-Jun-2019,,,,NCBI type_material qualifier,
MZ354152,Absidia nigra,"type material of Absidia cylindrospora
                     var. nigra",Yes,,,USA,,,,,NCBI type_material qualifier,
MZ354145,Absidia oblongispora,"culture from holotype of Absidia
                     oblongispora",Yes,,,China,,,,,NCBI type_material qualifier,
MW264072,Absidia ovalispora,"culture from holotype of Absidia
                     ovalispora",Yes,,,China,,Heng Zhao & Xiaoyong Liu,,,NCBI type_material qualifier,
MF522181,Absidia panacisoli,holotype of Absidia panacisoli,Yes,,,,,,,,NCBI type_material qualifier,
PP844907,Absidia paracylindrospora,"culture from holotype of Absidia
                     paracylindrospora",Yes,,,South Korea,,,,,NCBI type_material qualifier,
PP844908,Absidia paracylindrospora,"culture from holotype of Absidia
                     paracylindrospora",Yes,,,South Korea,,,,,NCBI type_material qualifier,
MT193669,Absidia pararepens,"culture from holotype of Absidia
                     pararepens",Yes,CCF_6352,,USA,2015,,,,NCBI type_material qualifier,
MN635568,Absidia pernambucoensis,"culture from holotype of Absidia
                     pernambucoensis",Yes,,,Brazil,,,,,NCBI type_material qualifier,
EF030526,Absidia pseudocylindrospora,"type material of Absidia
                     pseudocylindrospora",Yes,,,,,,,,NCBI type_material qualifier,
AY944874,Absidia psychrophilia,type material of Absidia psychrophilia,Yes,,,,,,,,NCBI type_material qualifier,
OL678135,Absidia purpurea,culture from holotype of Absidia purpurea,Yes,,,China,,,,,NCBI type_material qualifier,
ON074698,Absidia radiata,culture from holotype of Absidia radiata,Yes,,,China,,Heng Zhao,,,NCBI type_material qualifier,
ON074699,Absidia radiata,culture from holotype of Absidia radiata,Yes,,,China,,Heng Zhao,,,NCBI type_material qualifier,
JN205813,Absidia repens,culture from isotype of Absidia repens,Yes,,,,,,,,NCBI type_material qualifier,
EU484281,Absidia repens,culture from isotype of Absidia repens,Yes,,,,,,,,NCBI type_material qualifier,
ON074692,Absidia sichuanensis,"culture from holotype of Absidia
                     sichuanensis",Yes,,,China,,Heng Zhao,,,NCBI type_material qualifier,
MT396373,Absidia soli,holotype of Absidia soli,Yes,,MFLU:20-0414,Thailand,11-Aug-2019,Bhavesh Raghoonundon,,,NCBI type_material qualifier,
KU168828,Absidia stercoraria,holotype of Absidia stercoraria,Yes,,,South Korea,,,,,NCBI type_material qualifier,
MZ354148,Absidia sympodialis,"culture from holotype of Absidia
                     sympodialis",Yes,,,China,,,,,NCBI type_material qualifier,
PP844912,Absidia tarda,culture from holotype of Absidia tarda,Yes,,,Brazil,,,,,NCBI type_material qualifier,
PP844911,Absidia tarda,culture from holotype of Absidia tarda,Yes,,,Brazil,,,,,NCBI type_material qualifier,
MW671540,Absidia turgida,culture from holotype of Absidia turgida,Yes,,,China,,,,,NCBI type_material qualifier,
PP973115,Absidia urquhartii,"culture from holotype of Absidia
                     urquhartii",Yes,,,,,,,,NCBI type_material qualifier,
MZ354149,Absidia varians,culture from holotype of Absidia varians,Yes,,,China,,,,,NCBI type_material qualifier,
PP844914,Absidia variiprojecta,"culture from holotype of Absidia
                     variiprojecta",Yes,,,Brazil,,,,,NCBI type_material qualifier,
PP844913,Absidia variiprojecta,"culture from holotype of Absidia
                     variiprojecta",Yes,,,Brazil,,,,,NCBI type_material qualifier,
PP844916,Absidia variispora,"culture from holotype of Absidia
                     variispora",Yes,,,Brazil,,,,,NCBI type_material qualifier,
PP844915,Absidia variispora,"culture from holotype of Absidia
                     variispora",Yes,,,Brazil,,,,,NCBI type_material qualifier,
MZ354151,Absidia virescens,"culture from holotype of Absidia
                     virescens",Yes,,,China,,,,,NCBI type_material qualifier,
OL678136,Absidia xinjiangensis,"culture from holotype of Absidia
                     xinjiangensis",Yes,,,China,,,,,NCBI type_material qualifier,
ON074700,Absidia yunnanensis,"culture from holotype of Absidia
                     yunnanensis",Yes,,,China,,Heng Zhao,,,NCBI type_material qualifier,
MW671541,Absidia zonata,culture from holotype of Absidia zonata,Yes,,,China,,,,,NCBI type_material qualifier,
JX141451,Abundisporus mollissimus,holotype of Abundisporus mollissimus,Yes,,Cui 6257,China,,,,,NCBI type_material qualifier,
FJ411101,Abundisporus sclerosetosus,"culture from holotype of Abundisporus
                     sclerosetosus",Yes,,,Singapore,,Cony Decock,,,NCBI type_material qualifier,
KT275194,Acanthocorticium brueggemannii,"holotype of Acanthocorticium
                     brueggemannii",Yes,,JMB2621,Brazil,14-Mar-2012,J.M. Baltazar,,,NCBI type_material qualifier,
