accession,organism,suspected_status,confidence,evidence_source,evidence_text,voucher,refseq_source_accession,source_accession_in_mycomap_list,dikarya_jobs_containing,example_tip_label,ncbi_url
MK397577,Panaeolus plantaginiformis,lectotype,high,GenBank /type_material qualifier,lectotype of Psammomyces plantaginiformis,"LE 2862, lectotype",,,91,"MK397577 Psammomyces plantaginiformis LE 2862, lectotype",https://www.ncbi.nlm.nih.gov/nuccore/MK397577
NR_173927,Gymnopilus ochraceus,holotype,high,GenBank /type_material qualifier,holotype of Gymnopilus ochraceus,O:F-72838,MT216220,yes,83,NR_173927 Gymnopilus ochraceus O:F-72838 Matabeleland North ZW,https://www.ncbi.nlm.nih.gov/nuccore/NR_173927
NR_161031,Psathyrella umbrosa,holotype,high,GenBank /type_material qualifier,holotype of Psathyrella umbrosa,MICH:12102,MF326003,yes,77,NR_161031 Psathyrella umbrosa MICH:12102 United States,https://www.ncbi.nlm.nih.gov/nuccore/NR_161031
NR_159590,Amanita pyramidata,holotype,high,GenBank /type_material qualifier,holotype of Amanita pyramidata,HKAS:87943,MH508535,yes,62,NR_159590 Amanita pyramidata HKAS:87943 Yunnan CN,https://www.ncbi.nlm.nih.gov/nuccore/NR_159590
NR_153231,Russula subsulphurea,paratype,high,GenBank /type_material qualifier,paratype of Russula subsulphurea,TENN:F18743,KF810135,yes,58,NR_153231 Russula subsulphurea TENN:F18743 Florida US,https://www.ncbi.nlm.nih.gov/nuccore/NR_153231
NR_173217,Psathyrella subcaerulea,holotype,high,GenBank /type_material qualifier,holotype of Psathyrella subcaerulea,MICH:12059,MW412409,yes,57,NR_173217 Psathyrella subcaerulea MICH:12059 Oregon US,https://www.ncbi.nlm.nih.gov/nuccore/NR_173217
NR_185439,Inocybe abdita,holotype,high,GenBank /type_material qualifier,holotype of Inocybe abdita,STU:SMNS-STU-F-0901691,OP164062,yes,57,NR_185439 Inocybe abdita STU:SMNS-STU-F-0901691 Germany,https://www.ncbi.nlm.nih.gov/nuccore/NR_185439
NR_154305,Pulchroboletus roseoalbidus,epitype,high,GenBank /type_material qualifier,epitype of Pulchroboletus roseoalbidus,AMB:12757,KJ729486,yes,54,NR_154305 Pulchroboletus roseoalbidus AMB:12757 Italy,https://www.ncbi.nlm.nih.gov/nuccore/NR_154305
NR_157868,Cortinarius phoeniceus,epitype,high,GenBank /type_material qualifier,epitype of Agaricus phoeniceus,S:CFP742,JN114084,yes,53,NR_157868 Cortinarius phoeniceus S:CFP742 Sweden,https://www.ncbi.nlm.nih.gov/nuccore/NR_157868
NR_131857,Cortinarius tillamookensis,holotype,high,GenBank /type_material qualifier,holotype of Cortinarius tillamookensis,personal:J.F. Ammirati:6130,KP087981,yes,52,NR_131857 Cortinarius tillamookensis personal:J.F. Ammirati:6130 California US,https://www.ncbi.nlm.nih.gov/nuccore/NR_131857
NR_161027,Psathyrella nitens,holotype,high,GenBank /type_material qualifier,holotype of Psathyrella nitens,MICH:11983,MF325982,yes,49,NR_161027 Psathyrella nitens MICH:11983 United States,https://www.ncbi.nlm.nih.gov/nuccore/NR_161027
NR_170034,Cortinarius mallaensis,holotype,high,GenBank /type_material qualifier,holotype of Cortinarius mallaensis,H:6033453,MT112163,yes,49,NR_170034 Cortinarius mallaensis H:6033453 Pirkanmaa FI,https://www.ncbi.nlm.nih.gov/nuccore/NR_170034
NR_171126,Cortinarius fusisporus var. olivaceodepressus,holotype,high,GenBank /type_material qualifier,holotype of Cortinarius fusisporus var. olivaceodepressus,PC:860,MT935086,yes,49,NR_171126 Cortinarius semivestitus PC:860 France,https://www.ncbi.nlm.nih.gov/nuccore/NR_171126
NR_175636,Agrocybe flexuosipes,holotype,high,GenBank /type_material qualifier,holotype of Hebeloma flexuosipes,NYS:NYS-F-001221,MN017805,yes,49,NR_175636 Agrocybe flexuosipes NYS:NYS-F-001221 United States,https://www.ncbi.nlm.nih.gov/nuccore/NR_175636
NR_156572,Psilocybe chuxiongensis,holotype,high,GenBank /type_material qualifier,holotype of Psilocybe chuxiongensis,IFRD:414-011,KF586474,yes,48,NR_156572 Psilocybe chuxiongensis IFRD:414-011 China,https://www.ncbi.nlm.nih.gov/nuccore/NR_156572
NR_176129,Russula paravioleipes,holotype,high,GenBank /type_material qualifier,holotype of Russula paravioleipes,HBAU:15001,MN658517,yes,47,NR_176129 Russula paravioleipes HBAU:15001 Zhejiang CN,https://www.ncbi.nlm.nih.gov/nuccore/NR_176129
NR_160474,Tubaria pallidissima,isotype,high,GenBank /type_material qualifier,isotype of Tubaria pallidissima,PDD:98276,KY827303,yes,46,NR_160474 Tubaria pallidissima PDD:98276 New Zealand,https://www.ncbi.nlm.nih.gov/nuccore/NR_160474
NR_173216,Candolleomyces rogueianus,holotype,high,GenBank /type_material qualifier,holotype of Psathyrella rogueiana,MICH:12031,MW412407,yes,45,NR_173216 Psathyrella rogueiana MICH:12031 Oregon US,https://www.ncbi.nlm.nih.gov/nuccore/NR_173216
NR_131851,Cortinarius rubrobrunneus,holotype,high,GenBank /type_material qualifier,holotype of Cortinarius rubrobrunneus,WTU:J. F. Ammirati 7903,KP087975,yes,42,NR_131851 Cortinarius rubrobrunneus WTU:J. F. Ammirati 7903 Ontario CA,https://www.ncbi.nlm.nih.gov/nuccore/NR_131851
NR_151651,Amanita heishidingensis,holotype,high,GenBank /type_material qualifier,holotype of Amanita heishidingensis,HKAS:76122,KC429051,yes,42,NR_151651 Amanita heishidingensis HKAS:76122 China,https://www.ncbi.nlm.nih.gov/nuccore/NR_151651
NR_161026,Psathyrella griseopallida,holotype,high,GenBank /type_material qualifier,holotype of Psathyrella griseopallida,MICH:11939,MF325974,yes,40,NR_161026 Psathyrella griseopallida MICH:11939 United States,https://www.ncbi.nlm.nih.gov/nuccore/NR_161026
NR_174636,Cortinarius perrotensis,isotype,high,GenBank /type_material qualifier,isotype of Cortinarius perrotensis,TENN:071126,KX897405,yes,39,NR_174636 Cortinarius perrotensis TENN:071126 Quebec CA,https://www.ncbi.nlm.nih.gov/nuccore/NR_174636
NR_174928,Cortinarius albidipes,holotype,high,GenBank /type_material qualifier,holotype of Cortinarius albidipes,NYS:F000129,MZ580485,yes,39,NR_174928 Cortinarius albidipes NYS:F000129 New York US,https://www.ncbi.nlm.nih.gov/nuccore/NR_174928
NR_173215,Psathyrella ramicola,holotype,high,GenBank /type_material qualifier,holotype of Psathyrella ramicola,MICH:12027,MW412406,yes,38,NR_173215 Psathyrella ramicola MICH:12027 Oregon US,https://www.ncbi.nlm.nih.gov/nuccore/NR_173215
NR_173926,Mycena juniperina,holotype,high,GenBank /type_material qualifier,holotype of Mycena juniperina,O:F-71211,MT216217,yes,38,NR_173926 Mycena juniperina O:F-71211 Vestfold NO,https://www.ncbi.nlm.nih.gov/nuccore/NR_173926
NR_119872,Pluteus saupei,holotype,high,GenBank /type_material qualifier,holotype of Pluteus saupei,ILLS:42441,HM562113,yes,36,NR_119872 Pluteus saupei ILLS:42441 Illinois US,https://www.ncbi.nlm.nih.gov/nuccore/NR_119872
NR_154868,Cortinarius fulvopaludosus,holotype,high,GenBank /type_material qualifier,holotype of Cortinarius fulvopaludosus,H:6033460,MG136823,yes,36,NR_154868 Cortinarius fulvopaludosus H:6033460 Finland,https://www.ncbi.nlm.nih.gov/nuccore/NR_154868
NR_119388,Amanita ibotengutake,holotype,high,GenBank /type_material qualifier,holotype of Amanita ibotengutake,CBM:FB-30969,AB080988,no,35,NR_119388 Amanita ibotengutake CBM:FB-30969,https://www.ncbi.nlm.nih.gov/nuccore/NR_119388
NR_160473,Tubaria mediocris,isotype,high,GenBank /type_material qualifier,isotype of Tubaria mediocris,PDD:98275,KY827302,yes,35,NR_160473 Tubaria mediocris PDD:98275 New Zealand,https://www.ncbi.nlm.nih.gov/nuccore/NR_160473
NR_173812,Russula subalpinogrisea,holotype,high,GenBank /type_material qualifier,holotype of Russula subalpinogrisea,CAL:1735,MK253444,yes,35,NR_173812 Russula subalpinogrisea CAL:1735 Sikkim IN,https://www.ncbi.nlm.nih.gov/nuccore/NR_173812
NR_198565,Psilocybe ingeli,holotype,high,GenBank /type_material qualifier,holotype of Psilocybe ingeli,PREM:63385,OR147193,yes,35,NR_198565.1,https://www.ncbi.nlm.nih.gov/nuccore/NR_198565
NR_131848,Cortinarius cruentiphyllus,holotype,high,GenBank /type_material qualifier,holotype of Cortinarius cruentiphyllus,personal:T. Niskanen:05-001,KP087972,yes,34,NR_131848 Cortinarius cruentiphyllus personal:T. Niskanen:05-001 Finland,https://www.ncbi.nlm.nih.gov/nuccore/NR_131848
NR_161029,Psathyrella praetenuis,holotype,high,GenBank /type_material qualifier,holotype of Psathyrella praetenuis,MICH:5361,MF325993,yes,34,NR_161029 Psathyrella praetenuis MICH:5361 United States,https://www.ncbi.nlm.nih.gov/nuccore/NR_161029
NR_167957,Psathyrella scanica,type,high,GenBank /type_material qualifier,type material of Psathyrella scanica,GB:LO183-09,KC992910,yes,34,NR_167957 Psathyrella scanica GB:LO183-09 Sweden,https://www.ncbi.nlm.nih.gov/nuccore/NR_167957
NR_174656,Cortinarius caesiifolius,holotype,high,GenBank /type_material qualifier,holotype of Cortinarius caesiifolius,MICH:10326,MZ580462,yes,34,NR_174656 Cortinarius caesiifolius MICH:10326 Washington US,https://www.ncbi.nlm.nih.gov/nuccore/NR_174656
NR_159820,Crepidotus albolanatus,holotype,high,GenBank /type_material qualifier,holotype of Crepidotus albolanatus,PDD:72865,KY827292,yes,33,NR_159820 Crepidotus albolanatus PDD:72865 New Zealand,https://www.ncbi.nlm.nih.gov/nuccore/NR_159820
NR_182946,Entoloma cinnamomeum,holotype,high,GenBank /type_material qualifier,holotype of Entoloma cinnamomeum,LE<RUS>:311801,OK161243,yes,32,NR_182946 Entoloma cinnamomeum LE:311801 Tver RU,https://www.ncbi.nlm.nih.gov/nuccore/NR_182946
